,id,alias,name,description,subscriptionCount,subscribed,notificationType,read,createdAt,updatedAt,canPost,ignorePost,invisible,isSchool,userSchool,fullyAnonymous,canUseNickname,canUseSchool,postThumbnail,shouldCategorized,shouldPostCategorized,hasPostCategories,titlePlaceholder,postTitlePlaceholder,ipCountryCondition,subcategories,topics,nsfw,mediaThreshold,limitCountries,limitStage,availableLayouts,heroImage,logo,postCount,favorite,isPersonaPage,isFeaturedPage,enablePrivateMessage,restrictIdentityOnComment,enableSelectedPosts,displaySelectedPostsTab,allowModManageSelectedPosts,displayGroupChatEntry,enableHintedValidations,enableEditedHistory
224,be1a095b-175e-4523-9e06-66a05d939676,dressup,穿搭,"穿搭板提供各種服裝搭配、包鞋、飾品配件等相關話題討論。
歡迎分享自己的日常穿搭，或任何潮流相關話題也可以在此發文詢問！
發文、留言前請詳閱置頂板規喔～",1134578,False,,False,2020-02-04T07:28:03.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},False,False,True,發文記得加入「話題」分類喲！,發文前請選擇標題分類，提高文章曝光度喔！❤️,"{'exclude': [], 'include': []}","['精選', '日常', '正式', '情侶', '鞋款']","['年度單品', '穿搭健檢', '蝦皮', '耳環', '襯衫', '工裝', '後背包', '寬褲', '淘寶', '涼鞋', '洋裝', '情侶穿搭', '鞋子', '韓系穿搭', '背包', '眼鏡', '白襯衫', '牛仔褲', '腰包', '日系穿搭', '餅乾鞋', '外套', '背心', '長夾', '古著', '女生穿搭', '男生穿搭', '日常穿搭', '肉肉女穿搭', '雨衣', '小隻女穿搭', '真理褲', '校園穿搭', '帆布鞋', '歐美風', '球鞋', 'Converse', '中性穿搭', '顯瘦穿搭', '婚禮穿搭', '泳裝', '約會穿搭', '罩衫', '重複穿搭', '姊妹穿搭', '復古風']",False,{},[],0,"['classic', 'link', 'ecSharing', 'poll']","{'url': 'https://megapx-assets.dcard.tw/images/face819a-591d-4636-8eab-86529e6b07f0/orig.jpeg', 'type': 'image/jpeg', 'width': 1801, 'height': 601}","{'url': 'https://megapx-assets.dcard.tw/images/cd6b2192-5a0a-4dad-b571-2f0ca051a646/orig.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 1896},False,False,False,True,False,True,True,True,False,False,True
233,06e07db4-c8b5-4dae-851f-e8a8236e770c,meme,梗圖,梗圖=有梗的圖,1041706,False,,False,2020-02-04T07:29:33.573Z,2022-09-27T13:56:24.878Z,True,True,False,False,,False,True,True,{'size': 'small'},False,False,True,,,{},[],[],False,{},[],0,['image'],"{'url': 'https://megapx-assets.dcard.tw/images/926dcd27-8107-4745-a07f-3c07a4baa93d/orig.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/296d5970-41ae-4054-8c73-59171072a0a3/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 1725},False,False,False,True,False,False,False,False,False,False,True
373,1ce3ebca-8701-42d5-b14c-076fc629bc8e,sex,西斯,西斯板（Sex）提供男女私密話題分享或性教育等情慾議題討論，若有性方面相關問題也可在此發問。（發文前請詳閱板規，徵人、徵友、引導交換個資等行為將會刪文停權。）,987592,False,,False,2020-02-04T07:52:53.573Z,2022-10-27T10:18:27.746Z,True,True,True,False,,True,True,True,{'size': 'small'},False,False,False,發文請記得在下一頁加入話題或其他相關分類喲！,,{},"['創作', '知識', '圖文']","['A片', '甲', 'Les', '無碼片', 'NTR', '內射', '自慰', '3P', '外流', '意淫自拍OL黑絲', '玩具大賞', '情趣用品', '大雞雞', '保險套', '約炮', 'H漫', '調教', '潤滑液', '做愛']",True,"{'RACY': 1, 'ADULT': 1, 'VIOLENCE': 1}",[],0,"['classic', 'ecSharing']","{'url': 'https://megapx-assets.dcard.tw/images/50a4b6e7-fe05-493c-af56-ac63a1a73259/orig.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/24f4f7ef-c308-4c37-80dc-349fd47cf71a/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 5038},False,False,False,False,False,False,False,False,False,False,True
228,42851318-b9e2-4a75-8a05-9fe180becefe,relationship,感情,無論是遠距離戀愛、情侶間的有趣互動、分手後的藕斷絲連等...都可以在感情板分享你們的愛情故事，找到愛情路上的共感。,928054,False,,False,2020-02-04T07:28:43.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,True,True,True,{'size': 'small'},False,False,False,發文記得加入「話題」分類喲！,,"{'exclude': [], 'include': []}","['曖昧', '閃光', '劈腿', '失戀', '分手', '告白']","['微西斯', '愛情', '閃光', '價值觀', '告白', '分手', '遠距離', '失戀', '曖昧', '做愛', '在一起', '學長', '交友軟體', '七夕', '單身', '渣男', '第一次', '同居', '暗戀', '復合', '木頭男友', '綠帽', '撒嬌', '劈腿', '大叔', '脫魯', '同事', '情人節', '菜桃貴', '一個人', '生理期', '約會', '月老', '警察', '熱戀期', '學妹', '旅行', '生日禮物']",False,{},[],0,['classic'],"{'url': 'https://megapx-assets.dcard.tw/images/b7d2dc32-cccb-4afa-8291-781164fd4691/orig.jpeg', 'type': 'image/jpeg', 'width': 7500, 'height': 2500}","{'url': 'https://megapx-assets.dcard.tw/images/c99966a1-03f9-4a69-86d4-df979a970496/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 9829},False,False,False,False,False,False,False,False,False,False,True
230,255fd275-fec2-49d2-8e46-2e1557ffaeb0,talk,閒聊,閒聊板提供各種生活周遭大小事的討論，無論是半夜睡不著想找同好，甚至是戴牙套遇到的困擾等...都可在此發文。,920474,False,,False,2020-02-04T07:29:03.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},False,False,False,發文記得加入「話題」分類喲！,,"{'exclude': [], 'include': []}","['醫療', '法律']","['網美媽媽', '廢墟探險', '畢旅', '童年回憶', '泰國浴', '租屋', '牙套', '法律', '困擾', '醫療']",False,{},[],0,"['classic', 'link']","{'url': 'https://megapx-assets.dcard.tw/images/3eac71d2-89ea-4687-baae-49bd0a24d90d/full.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/dfe250b0-f60c-420a-a099-5eafd107ae31/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 9435},False,False,False,False,False,False,False,False,False,False,True
217,cbd5285f-3cba-4bfc-86d0-1ab52d201459,makeup,美妝,"不管你喜歡開架彩妝還是專櫃彩妝，美妝板提供各種最新彩妝開箱評比、粉底色號、唇膏試色、眼影試色、保養品推薦等你來討論！
發文、留言前請詳閱置頂板規喔～",889550,False,,False,2020-02-04T07:26:53.573Z,2022-11-18T06:48:05.663Z,True,False,False,False,,False,True,True,{'size': 'small'},False,False,True,發文請記得在下一步驟加入「相關話題」或其他相關分類喲！,發文前請選擇標題分類，提高文章曝光度喔！❤️,"{'exclude': [], 'include': []}","['精選', '底妝', '眼妝', '唇彩', '保養', '情報']","['潔膚水', '防曬', '粉餅', '受受狼', '刷具', '遮瑕', '粉刺', '打亮', '眼影', '粉底', '眉筆', '粉底液', '美白', '隱眼', '蜜粉', '面膜', '眼線', '修容', '二手拍', '唇膏試色', '眉毛', '保養', '日常妝容', '唇彩', '底妝', '敏感肌', '口紅', '腮紅', '眼妝', '凹凹賞', '空空賞', '指甲油', '男生保養', '約會妝容', '開架彩妝', '香水', '醫美']",False,{},[],0,"['classic', 'ecSharing']","{'url': 'https://megapx-assets.dcard.tw/images/9c97615a-e424-4db5-91aa-4cfb5f03f60b/orig.jpeg', 'type': 'image/jpeg', 'width': 1801, 'height': 601}","{'url': 'https://megapx-assets.dcard.tw/images/f5ff9184-1c01-4d22-a246-20bf0b057745/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 3642},False,False,False,True,False,True,True,True,False,False,True
273,de977130-f3eb-467b-822e-b0e91124e9eb,food,美食,美食板歡迎分享各種吃貨食記心得，或提供手搖飲料、校園美食、美食情報等文章！,863433,False,,False,2020-02-04T07:36:13.573Z,2022-10-17T06:46:54.421Z,True,False,False,False,,False,True,True,{'size': 'large'},True,False,False,發文記得加入「話題」分類喲！,,"{'exclude': [], 'include': []}","['精選', '食譜', '食記', '評比', '超商']","['加倍佳熊貓軟糖', '台中美食', '高雄美食', '台南美食', '台北美食', '新竹美食', '板橋美食', '全聯', '711', '嘉義美食', '全家', '花蓮美食', '屏東美食', '貓咪咖啡廳', '宜蘭美食', '桃園美食', '學餐', '肯德基', '超商', '全聯牛奶糖季', '甜點', '台中美食', '銅板美食', '燒烤', '外國學餐', '嘉義美食', '手搖飲', '早午餐', '居酒屋', '餐飲店員告訴你', '下午茶', '飛機餐', '火鍋', '自助餐', '咖啡廳', '調酒']",False,{},[],0,"['classic', 'link', 'image', 'video', 'ecSharing']","{'url': 'https://megapx-assets.dcard.tw/images/314f0f8c-6ef8-43e1-a0b5-7c676cf022ff/orig.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/24f78ac5-0501-4258-a8df-59265fdff614/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 2482},False,False,False,False,False,False,False,False,False,False,True
340,3bceb81c-574e-4a96-8050-4df56096d0df,money,理財,理財板提供分享各種省錢小撇步、信用卡經驗、虛擬貨幣、股票投資心得等，歡迎你和大家交流各種不錯的理財方式哦～,603557,False,,False,2020-02-04T07:47:23.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},True,False,False,發文記得加入「話題」分類喲！,,"{'exclude': [], 'include': []}","['請益', '虛擬貨幣', '基金', '股票期貨', '保險', '匯率']","['信用卡', '基金', '股票期貨', '虛擬貨幣', '匯率', '儲蓄險', '保險', '比特幣', '投資']",False,{},[],0,"['classic', 'link']","{'url': 'https://megapx-assets.dcard.tw/images/ec51eba2-1c07-4f9b-ac14-f46edb57a49c/full.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/c1ece9f4-ffb2-4758-aac6-4169c9ebaebb/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 1324},False,False,False,False,False,True,True,False,False,False,True
212,b7db78c7-7b32-4da5-a565-907a892259d7,youtuber,YouTuber,"只要有手機你就是Youtuber，一起將你的作品分享給全世界吧！
發文、留言前請詳閱置頂板規喔～",597623,False,,False,2020-02-04T07:26:03.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},False,False,False,,"請善用搜尋功能，不要發表相同或類似文章。

發文前請先仔細閱讀板規，若因違反板規而被刪文或禁言，請自行負責。","{'exclude': [], 'include': []}",[],[],False,{},[],0,"['classic', 'link']","{'url': 'https://megapx-assets.dcard.tw/images/ad59c688-ad32-4b5d-b441-ee7fe8b4acfe/orig.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/5b68ba39-26c6-4a36-8a6b-e7fe9bf60c7f/orig.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 602},False,False,False,False,False,False,False,False,False,False,True
270,4c6964fc-8b39-4480-a844-847f09e4e09d,horoscopes,星座,星座版提供各種星座運勢、心理測驗、星座感情分享，或是有任何塔羅占卜相關的專業知識也可在此發文討論！,559155,False,,False,2020-02-04T07:35:43.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,True,True,True,{'size': 'small'},True,False,False,發文記得加入「話題」分類喲！,,{},"['占卜', '心理測驗', '白羊', '金牛', '雙子', '巨蟹', '獅子', '處女', '天秤', '天蠍', '射手', '摩羯', '水瓶', '雙魚']","['心理測驗', '占卜', '雙魚', '射手', '天蠍', '雙子', '巨蟹', '白羊', '金牛', '水瓶', '獅子', '處女', '天秤', '摩羯']",False,{},[],0,['classic'],"{'url': 'https://megapx-assets.dcard.tw/images/8e7c9abc-8d16-4de1-80a0-9015e40af469/orig.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/5b2bc846-a9e1-4a60-b383-29cce5c40d18/orig.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 2220},False,False,False,False,False,False,False,False,False,False,True
